Date,close,high,low,open,volume,momentum,returns_1d,returns_5d,returns_10d,returns_20d,momentum_change,future_returns_1d,future_returns_5d,future_returns_10d,price_range,volatility
2023-11-21,441.8506164550781,442.6889656755236,440.57362207457913,441.7628874230674,49244600,50.0,,,,,,0.0038608118583054463,0.002956233012382903,0.0032872051303993732,2.1153436009444704,
2023-11-22,443.5565185546875,444.8822710900932,442.4550120107973,443.5175477071304,59394900,50.0,0.0038608118583054463,,,,0.0,0.0006152275351130054,0.003032930015975932,0.007054751260108683,2.4272590792958795,
2023-11-24,443.82940673828125,444.0243799462038,443.2737896182981,443.6052202727786,29737400,50.0,0.0006152275351130054,,,,0.0,-0.0018008166177350127,0.008346190251771857,0.010762268690640564,0.7505903279056838,
2023-11-27,443.0301513671875,444.01468588647003,442.6402048955527,443.1958518437672,50506000,50.0,-0.0018008166177350127,,,,0.0,0.000990066136665968,0.004862572786014319,0.01652431610146632,1.3744809909173341,
2023-11-28,443.4687805175781,444.77501785393656,442.07481415289016,442.6401889183708,62115000,50.0,0.000990066136665968,,,,0.0,-0.0007034332455819747,0.003670900318168968,0.02015692025336535,2.700203701046405,
2023-11-29,443.1568298339844,446.77338386709766,442.75718529272547,445.63284701527954,63146000,50.0,-0.0007034332455819747,0.002956233012382903,,,0.0,0.0039375780358910095,0.0003299965712584285,0.034952986162524846,4.016198574372197,
2023-11-30,444.90179443359375,445.25274033268937,441.9188881606161,444.0049888835271,79752700,79.36300965270273,0.0039375780358910095,0.003032930015975932,,,29.36300965270273,0.005915680731310546,0.004009660225281708,0.03420225424462875,3.33385217207325,
2023-12-01,447.53369140625,448.06982310728114,443.6929512334986,444.2875689474155,89183400,84.56912315819793,0.005915680731310546,0.008346190251771857,,,5.206113505495196,-0.005249378374751368,0.002396080296852565,0.0264273923161773,4.376871873782534,
2023-12-04,445.1844177246094,447.55319056539764,442.89361632048383,444.12188212625665,72430900,76.526225778685,-0.005249378374751368,0.004862572786014319,,,-8.042897379512922,-0.00019701390264181828,0.01160531164288403,0.037648301118407,4.659574244913813,
2023-12-05,445.0967102050781,446.06175924267177,443.41028403700943,443.7904728995386,69793500,68.34322571627744,-0.00019701390264181828,0.003670900318168968,,,-8.183000062407558,-0.004029776216257219,0.01642572274434806,0.04416380772234141,2.6514752056623365,
2023-12-06,443.3030700683594,447.2802680067955,442.86439518784823,447.2510249980106,69124700,60.36130509034887,-0.004029776216257219,0.0003299965712584285,0.0032872051303993732,,-7.9819206259285735,0.0076305119971527,0.03461156789253583,0.03386078421991234,4.415872818947264,
2023-12-07,446.6856994628906,447.3388033139613,444.7945720231274,445.3989474370998,66995400,61.78480246639562,0.0076305119971527,0.004009660225281708,0.007054751260108683,,1.4234973760467469,0.004299037568976649,0.030072015455082868,0.03576040905111899,2.5442312908339204,
2023-12-08,448.60601806640625,449.1421498074846,445.69132604578505,445.93502770059104,83194400,69.14039897276226,0.004299037568976649,0.002396080296852565,0.010762268690640564,,7.355596506366638,0.003889612475494797,0.023973868704881607,0.033399292866996166,3.450823761699553,
2023-12-11,450.3509216308594,450.5264094395956,447.8944195446756,448.108878200919,65002200,77.9529652169192,0.003889612475494797,0.01160531164288403,0.01652431610146632,,8.81256624415694,0.004567157813334388,0.025744219781950406,0.03374206542898439,2.631989894920025,2.960626252665333
2023-12-12,452.4077453613281,452.5052319702893,448.9959222888426,449.99997188879604,68327600,85.31325981534215,0.004567157813334388,0.01642572274434806,0.02015692025336535,,7.3602945984229535,0.013790080027673124,0.027289829799958865,0.030902768572856232,3.509309681446666,3.06019525841549
2023-12-13,458.646484375,458.89994359903204,452.42721379094627,452.7878874566932,93278000,92.37359794642728,0.013790080027673124,0.03461156789253583,0.034952986162524846,,7.060338131085132,0.0032093440064386858,-0.0007256671932954761,0.017264105596886292,6.472729808085774,3.349157453329054
2023-12-14,460.1184387207031,461.7951071385204,457.4279631842969,460.59608439974494,119026000,96.11645164277496,0.0032093440064386858,0.030072015455082868,0.03420225424462875,,3.74285369634768,-0.0016465301391953568,0.005522326119618892,0.011074233405081957,4.367143954223479,3.6074827123517537
2023-12-15,459.36083984375,460.70176444733164,457.50120415679675,459.51744483108826,141553700,95.70403343005589,-0.0016465301391953568,0.023973868704881607,0.0264273923161773,,-0.412418212719075,0.0056252398298841655,0.009204750677901385,0.007074117930931045,3.200560290534895,3.7379169480387224
2023-12-18,461.9448547363281,462.9334108167086,459.9090492984959,460.9758929509902,70375300,95.20553619638893,0.0056252398298841655,0.025744219781950406,0.037648301118407,,-0.49849723366695287,0.006080857849790622,0.007797115004688271,-0.00673779080133996,3.024361518212686,3.7610710778363137
2023-12-19,464.7538757324219,464.83219317180465,462.414657477173,462.49294504720444,55761800,95.3061212751599,0.006080857849790622,0.027289829799958865,0.04416380772234141,,0.1005850787709619,-0.013857261662000742,0.0035169614923578063,-0.015921276796229344,2.417535694631624,3.646880872140559
2023-12-20,458.31365966796875,465.7913622558364,457.8830033552832,463.892567568819,102921000,84.38044745752474,-0.013857261662000742,-0.0007256671932954761,0.03386078421991234,0.0372592966939187,-10.925673817635158,0.009481941097169821,0.018002836858276083,-0.0007261275819145929,7.908358900553196,3.973631352746269
2023-12-21,462.65936279296875,462.9334141013397,458.88133775326304,461.3184379551816,86667500,75.6789949556141,0.009481941097169821,0.005522326119618892,0.03576040905111899,0.04306744110204308,-8.701452501910637,0.002009640628737097,0.005521416224429698,0.004019545102372568,4.052076348076639,3.950431672338705
2023-12-22,463.5891418457031,465.2824054768028,461.6805799335795,463.7946728489947,67160400,71.94869208679779,0.002009640628737097,0.009204750677901385,0.033399292866996166,0.04452101372154882,-3.7303028688163096,0.0042225968473603714,-0.002111199680282061,0.00048575168971343174,3.601825543223299,3.8748781936465257
2023-12-26,465.54669189453125,466.45693055584053,463.92194844168887,464.00026588508166,55387000,72.54606959156156,0.0042225968473603714,0.007797115004688271,0.03374206542898439,0.05082394608551555,0.5973775047637702,0.001807993348294179,-0.014422452286897536,0.001913138967766237,2.53498211415166,3.86655725853862
2023-12-27,466.3883972167969,466.53520507295934,464.80281263154177,465.3411180605876,68000300,74.7525733489502,0.001807993348294179,0.0035169614923578063,0.030902768572856232,0.051682593467952787,2.2065037573886315,0.0003778149223807592,-0.019370114342342593,-0.00033574097103150624,1.7323924414175735,3.6748800887150708
2023-12-28,466.5646057128906,467.4063240716052,466.1437465335333,466.75057230271875,77158100,77.89420533021817,0.0003778149223807592,0.018002836858276083,0.017264105596886292,0.05282052380344737,3.1416319812679774,-0.0028950074465007303,-0.018397752699777614,-2.0996326035360724e-05,1.2625775380718665,3.5833333920892096
2023-12-29,465.2138977050781,466.8973642343975,463.2465827268645,466.36882605664505,122283100,73.38760509432922,-0.0028950074465007303,0.005521416224429698,0.011074233405081957,0.04565525139619586,-4.506600235888953,-0.00559631842527708,-0.0014936242011597267,-0.0007994553181752684,3.6507815075329972,3.59761608822017
2024-01-02,462.61041259765625,463.60876584488506,460.49628967743104,462.1308302694638,123623700,56.46243401675501,-0.00559631842527708,-0.002111199680282061,0.007074117930931045,0.03368846073696008,-16.925171077574205,-0.00816679770150941,0.002602445652424956,-0.0007617348529417312,3.1124761674540196,3.6319365362583125
2024-01-03,458.8323669433594,461.18138219560745,458.2255412390415,460.4375159158116,103585900,36.83491660538296,-0.00816679770150941,-0.014422452286897536,-0.00673779080133996,0.03065684394010537,-19.627517411372054,-0.0032211465778659853,0.016574638183031176,0.016425320114327846,2.9558409565659645,3.592403055909691
2024-01-04,457.3544006347656,460.9562257695221,457.12927536283803,458.35272383546027,84232200,23.67508910850125,-0.0032211465778659853,-0.019370114342342593,-0.015921276796229344,0.027539386718989256,-13.159827496881707,0.0013697579882920863,0.0194103541506343,0.03242185396556874,3.826950406684091,3.403418812952428
2024-01-05,457.9808654785156,460.4473270881045,456.52249444505304,457.55997646197653,86118900,15.424945670590134,0.0013697579882920863,-0.018397752699777614,-0.0007261275819145929,0.03311006938863037,-8.250143437911117,0.01427609313634326,0.018721184088855924,0.03318945271100371,3.9248326430514453,3.3718251478687113
2024-01-08,464.51904296875,464.6658508498078,458.3528431401252,458.4800865934937,74879100,28.627282928412214,0.01427609313634326,-0.0014936242011597267,0.004019545102372568,0.039923694730551684,13.20233725782208,-0.001517078631607216,0.0006952072613748417,0.02161804201464257,6.3130077096826085,3.5941428206649766
2024-01-09,463.8143310546875,464.8420160821066,461.3380719188353,461.84701585832823,65931400,43.020186887839664,-0.001517078631607216,0.002602445652424956,0.00048575168971343174,0.03390126831965512,14.39290395942745,0.005655315460945998,-0.003355448133958383,0.024288622887818523,3.503944163271342,3.628398723883452
2024-01-10,466.4373474121094,467.3084571861186,463.80448353404677,464.08833198358764,67310600,58.85496408056894,0.005655315460945998,0.016574638183031176,0.001913138967766237,0.03571975765697588,15.834777192729277,-0.0004406505821461515,-0.0001468835273820135,0.02406835442491362,3.5039736520718066,3.706001435129179
2024-01-11,466.2318115234375,467.96420403660454,462.2286911764114,467.44546301044596,77940700,68.20050791836708,-0.0004406505821461515,0.0194103541506343,-0.00033574097103150624,0.03055665227629656,9.34554383779814,0.0006927842307018484,0.012763750889871694,0.023218221010737006,5.735512860193126,3.5507981465320313
2024-01-12,466.5548095703125,468.4340398986522,465.13562701304636,467.6901735377371,58026400,75.6745292473717,0.0006927842307018484,0.018721184088855924,-2.0996326035360724e-05,0.017242746788060925,7.474021329004614,-0.0036712290918643475,0.014202383191911583,0.030607530003136985,3.298412885605842,3.4969650420698315
2024-01-16,464.84197998046875,466.48628784437733,463.0117055269017,465.16498716012916,85014900,72.35936366128703,-0.0036712290918643475,0.0006952072613748417,-0.0007994553181752684,0.010265924732116405,-3.3151655860846603,-0.005558779044720574,0.02090829915187431,0.03360484172011691,3.4745823174756083,3.487876240230711
